product_name,price,description,source,tags
Ata Grass Rattan Bag - Gianyar,19.81,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Bali Silver Pendant 925,115.62,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Macrame Boho Wall Hanging,129.32,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Bali Silver Pendant 925,86.3,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Macrame Boho Wall Hanging,137.15,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Ata Grass Rattan Bag - Gianyar,117.63,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Handmade Celuk Silver Ring,26.05,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Bali Silver Pendant 925,97.77,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Ata Grass Rattan Bag - Gianyar,89.47,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Bali Silver Pendant 925,102.74,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Ubud Carved Teak Wood Wall Art,110.99,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Ubud Carved Teak Wood Wall Art,136.0,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Handmade Celuk Silver Ring,140.02,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Handmade Celuk Silver Ring,131.61,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Ata Grass Rattan Bag - Gianyar,25.25,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Ubud Carved Teak Wood Wall Art,96.88,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ata Grass Rattan Bag - Gianyar,26.43,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Macrame Boho Wall Hanging,15.92,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Traditional Endek Woven Scarf,124.34,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Organic Coconut Shell Bowl,135.03,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Ubud Carved Teak Wood Wall Art,31.6,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Organic Coconut Shell Bowl,130.91,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Handmade Celuk Silver Ring,106.51,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ata Grass Rattan Bag - Gianyar,82.05,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Macrame Boho Wall Hanging,131.59,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Bali Silver Pendant 925,24.82,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Ata Grass Rattan Bag - Gianyar,146.44,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Organic Coconut Shell Bowl,101.64,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Hand-painted Bali Batik Sarong,42.04,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Handmade Celuk Silver Ring,28.9,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Hand-painted Bali Batik Sarong,82.62,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ubud Carved Teak Wood Wall Art,66.16,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Ubud Carved Teak Wood Wall Art,38.42,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ata Grass Rattan Bag - Gianyar,90.06,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Macrame Boho Wall Hanging,127.22,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Ubud Carved Teak Wood Wall Art,101.45,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Bali Silver Pendant 925,132.58,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Handmade Celuk Silver Ring,59.7,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Bali Silver Pendant 925,30.11,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Organic Coconut Shell Bowl,108.48,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Bali Silver Pendant 925,54.68,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Organic Coconut Shell Bowl,129.9,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Handmade Celuk Silver Ring,100.27,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ata Grass Rattan Bag - Gianyar,25.21,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ubud Carved Teak Wood Wall Art,92.1,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ata Grass Rattan Bag - Gianyar,21.9,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ubud Carved Teak Wood Wall Art,141.11,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Macrame Boho Wall Hanging,46.54,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Macrame Boho Wall Hanging,46.57,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Hand-painted Bali Batik Sarong,97.38,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Ata Grass Rattan Bag - Gianyar,124.76,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Traditional Endek Woven Scarf,53.41,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Traditional Endek Woven Scarf,92.8,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Hand-painted Bali Batik Sarong,94.56,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Traditional Endek Woven Scarf,108.07,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Hand-painted Bali Batik Sarong,56.39,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Bali Silver Pendant 925,86.73,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Macrame Boho Wall Hanging,92.33,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ata Grass Rattan Bag - Gianyar,149.15,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Organic Coconut Shell Bowl,31.27,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Ubud Carved Teak Wood Wall Art,122.34,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Macrame Boho Wall Hanging,112.0,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Macrame Boho Wall Hanging,57.52,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Ata Grass Rattan Bag - Gianyar,37.52,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Macrame Boho Wall Hanging,68.52,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Bali Silver Pendant 925,54.66,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Macrame Boho Wall Hanging,85.09,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Hand-painted Bali Batik Sarong,73.17,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Handmade Celuk Silver Ring,95.0,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Handmade Celuk Silver Ring,37.01,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Ubud Carved Teak Wood Wall Art,112.86,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Handmade Celuk Silver Ring,111.79,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Hand-painted Bali Batik Sarong,26.7,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Hand-painted Bali Batik Sarong,93.85,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Traditional Endek Woven Scarf,24.01,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Ubud Carved Teak Wood Wall Art,36.48,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Ubud Carved Teak Wood Wall Art,104.18,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Hand-painted Bali Batik Sarong,135.95,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Organic Coconut Shell Bowl,112.4,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Handmade Celuk Silver Ring,27.78,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Macrame Boho Wall Hanging,105.61,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Ata Grass Rattan Bag - Gianyar,98.57,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Ubud Carved Teak Wood Wall Art,116.8,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Macrame Boho Wall Hanging,141.77,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
