name,description,category,brand,product_details,average_rating,reviews_count,price
"Authentic Balinese Craft Hand-Drawn Batik Shawl, Mini (10cm) — Batik & Textile",Our Balinese Craft Hand-Drawn Batik Shawl embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Gianyar using premium Volcanic Sand & Stone Resin. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Batik & Textile,UbudHandmade,"RattanBag, SpiritualDecor, BatikTextile, WallDecor, BalineseJewelry, BalineseCraft, BalineseMask, WoodCarving",4.54,2315,40.68
"Unique Traditional Balinese Balinese Kebaya, XL (60cm) — Batik & Textile",Discover the soul of Bali with this Traditional Balinese Balinese Kebaya. Hand-finished by our Batubulan cooperative using sustainable Cempaka Wood. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Batik & Textile,BaliCraft,"RattanBag, HomeDecor, BatikTextile, ArtisanMade, SustainableWood, BaliArt, HandCarved, TraditionalBalinese, WoodCarving, SilverJewelry",4.73,409,78.98
"Unique Eco-Friendly Mandala Wall Hanging, Mini (10cm) — Wall Art & Panels",Our Eco-Friendly Mandala Wall Hanging embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Gianyar using premium Ebony Wood. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Wall Art & Panels,UbudDesign,"TropicalDecor, CulturalHeritage, UbudArt, WallArtPanels, Eco-Friendly, BaliStyle",4.65,137,200.05
"Handcrafted Bali Artisan Ata Vine Market Basket, Medium (25cm) — Rattan & Woven Bags",Discover the soul of Bali with this Bali Artisan Ata Vine Market Basket. Hand-finished by our Mas Village cooperative using sustainable Handwoven Ikat. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Rattan & Woven Bags,CelukHeritage,"RattanBag, IndonesianCraft, RattanWovenBags, GiftIdea, HandmadeBali, BalineseCraft, BaliArtisan, BalineseMask, SustainableWood",4.63,47,43.18
"Artisan Organic Bali Mandala Wall Hanging, Mini (10cm) — Wall Art & Panels","This Organic Bali Mandala Wall Hanging is meticulously crafted by skilled Gianyar artisans using Ata Vine. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Gianyar, Bali, Indonesia with international tracking.",Wall Art & Panels,BaliArtisan,"TraditionalBali, UniqueGift, CulturalHeritage, OrganicBali, WallArtPanels, EthnicArt, BalineseCraft, SustainableWood",4.97,1117,550.0
"Handcrafted Island Craft Peacock Feather Wall Art, Medium (25cm) — Wall Art & Panels","Island Craft Peacock Feather Wall Art — A masterpiece of Ubud heritage. Made from ethically sourced Ebony Wood, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Ubud workshop.",Wall Art & Panels,SukawatiArtisan,"WallArtPanels, IslandCraft, GiftIdea, HandmadeBali, EthnicArt, BaliStyle, BaliHandmade, HandCarved, SustainableWood, SilverJewelry",4.68,1664,281.37
"Authentic Island Craft Wicker Shoulder Bag, Large (40cm) — Rattan & Woven Bags","Island Craft Wicker Shoulder Bag — A masterpiece of Sukawati heritage. Made from ethically sourced Volcanic Sand & Stone Resin, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Sukawati workshop.",Rattan & Woven Bags,BaliCreativeHouse,"HomeDecor, UniqueGift, RattanWovenBags, BatiKTextile, IslandCraft, GiftIdea, HandmadeBali, HandCarved, SilverJewelry",4.94,911,90.5
"Elegant Hand Carved Hand-Drawn Batik Shawl, Decorative (20cm) — Batik & Textile",Discover the soul of Bali with this Hand Carved Hand-Drawn Batik Shawl. Hand-finished by our Tegallalang cooperative using sustainable 925 Sterling Silver. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Batik & Textile,NusaDesign,"RattanBag, TropicalDecor, BatikTextile, UbudArt, BaliHandmade, HandCarved",4.7,1356,33.11
"Artisan Handmade Galungan Festival Watercolor, Large (40cm) — Paintings on Canvas",Discover the soul of Bali with this Handmade Galungan Festival Watercolor. Hand-finished by our Gianyar cooperative using sustainable Suar Wood. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Paintings on Canvas,GianyarHandmade,"RattanBag, PaintingsonCanvas, SpiritualDecor, CulturalHeritage, ArtisanMade, Handmade, EthnicArt, HandmadeBali, BalineseCraft, WoodCarving",4.99,394,194.24
"Handcrafted Traditional Balinese Balinese Kebaya, Mini (10cm) — Batik & Textile",Discover the soul of Bali with this Traditional Balinese Balinese Kebaya. Hand-finished by our Batubulan cooperative using sustainable Suar Wood. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Batik & Textile,SukawatiArtisan,"GiftFromBali, SpiritualDecor, BatikTextile, CulturalHeritage, WoodCarving, BatiKTextile, BalineseMask, TraditionalBalinese, SustainableWood",4.86,2077,71.35
"Traditional Traditional Balinese Hanuman Monkey Mask, Mini (10cm) — Masks & Folk Art",Our Traditional Balinese Hanuman Monkey Mask embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Batubulan using premium Balinese Cotton. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Masks & Folk Art,KutaCreativeHouse,"TraditionalBali, OriginalArt, TraditionalBalinese, EthnicArt, MasksFolkArt, HandCarved, EcoFriendly",4.77,4,122.33
"Authentic Eco-Friendly Honey & Spice Incense, Mini (10cm) — Incense & Aromatherapy","Bring the essence of Ubud Art into your home with this Eco-Friendly Honey & Spice Incense. Produced in small batches in our Batubulan studio, using time-honored techniques passed down through generations. Ata Vine sourced responsibly from local forests. Certificate of authenticity included.",Incense & Aromatherapy,SeminyakArtisan,"BatiKTextile, Eco-Friendly, WallDecor, IncenseAromatherapy, HandCarved, WoodCarving, SilverJewelry",4.64,382,28.96
"Cultural Handmade Round Rattan Crossbody Bag, Decorative (20cm) — Rattan & Woven Bags","This Handmade Round Rattan Crossbody Bag is meticulously crafted by skilled Sukawati artisans using Waru Wood. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Sukawati, Bali, Indonesia with international tracking.",Rattan & Woven Bags,KlungkungCreativeHouse,"BohoDecor, GiftFromBali, OriginalArt, SpiritualDecor, RattanWovenBags, Handmade, HandmadeBali, SustainableWood, SilverJewelry",4.94,796,64.8
"Rare Ubud Art Dragon Bone Bracelet, XL (60cm) — Silver Jewelry","This Ubud Art Dragon Bone Bracelet is meticulously crafted by skilled Tegallalang artisans using Cempaka Wood. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Tegallalang, Bali, Indonesia with international tracking.",Silver Jewelry,CelukWorkshop,"CulturalHeritage, UbudArt, IndonesianCraft, ArtisanMade, IslandCraft, WallDecor, BalineseMask, EcoFriendly, SilverJewelry",4.96,467,354.36
"Rare Ubud Workshop Wayang Puppet Shadow Art, XL (60cm) — Paintings on Canvas","Ubud Workshop Wayang Puppet Shadow Art — A masterpiece of Tegallalang heritage. Made from ethically sourced Natural Rattan, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Tegallalang workshop.",Paintings on Canvas,KlungkungHeritage,"BohoDecor, OriginalArt, PaintingsonCanvas, UbudWorkshop, IndonesianCraft, ArtisanMade, BalineseJewelry, SilverJewelry",4.63,1720,188.75
"Authentic Balinese Craft Rice Field Photography Print, Large (40cm) — Wall Art & Panels",Discover the soul of Bali with this Balinese Craft Rice Field Photography Print. Hand-finished by our Celuk cooperative using sustainable Coconut Shell. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Wall Art & Panels,NusaDesign,"SpiritualDecor, WallArtPanels, BaliArt, EthnicArt, BalineseCraft, BalineseMask, WoodCarving",4.54,473,550.0
"Artisan Traditional Balinese Rice-Pattern Tea Set, XL (60cm) — Ceramic & Pottery",Our Traditional Balinese Rice-Pattern Tea Set embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Mas Village using premium Sustainable Teak Wood. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Ceramic & Pottery,UbudHandmade,"CeramicPottery, UniqueGift, TropicalDecor, CulturalHeritage, IndonesianCraft, GiftIdea, EthnicArt, BaliStyle, TraditionalBalinese",4.69,22,68.54
"Unique Ubud Art Volcanic Clay Incense Holder, XL (60cm) — Ceramic & Pottery","Bring the essence of Ubud Art into your home with this Ubud Art Volcanic Clay Incense Holder. Produced in small batches in our Mas Village studio, using time-honored techniques passed down through generations. Ata Vine sourced responsibly from local forests. Certificate of authenticity included.",Ceramic & Pottery,UbudCreativeHouse,"TraditionalBali, CeramicPottery, GiftFromBali, CulturalHeritage, UbudArt, HandmadeBali, BalineseJewelry, SustainableWood, EcoFriendly",4.67,2966,40.66
"Artisan Handmade Wayang Puppet Shadow Art, Medium (25cm) — Paintings on Canvas","Bring the essence of Ubud Art into your home with this Handmade Wayang Puppet Shadow Art. Produced in small batches in our Batubulan studio, using time-honored techniques passed down through generations. Suar Wood sourced responsibly from local forests. Certificate of authenticity included.",Paintings on Canvas,SeminyakCraft,"RattanBag, GiftFromBali, TropicalDecor, PaintingsonCanvas, IndonesianCraft, Handmade, EthnicArt, BalineseMask",4.63,866,384.73
"Rare Eco-Friendly Tropical Scenery Carving, Small (15cm) — Wall Art & Panels",Discover the soul of Bali with this Eco-Friendly Tropical Scenery Carving. Hand-finished by our Batubulan cooperative using sustainable Sustainable Teak Wood. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Wall Art & Panels,SanurArtisan,"SustainableWood, WallArtPanels, Eco-Friendly, GiftIdea, HandmadeBali, WoodCarving, EcoFriendly",4.89,15,171.08
"Cultural Eco-Friendly Traditional Ikat Fabric, Medium (25cm) — Batik & Textile","Bring the essence of Ubud Art into your home with this Eco-Friendly Traditional Ikat Fabric. Produced in small batches in our Ubud studio, using time-honored techniques passed down through generations. Balinese Cotton sourced responsibly from local forests. Certificate of authenticity included.",Batik & Textile,KutaArt,"TraditionalBali, BatikTextile, UbudArt, BatiKTextile, Eco-Friendly, HandmadeBali, BalineseJewelry",4.58,2942,74.93
"Elegant Traditional Balinese Balinese Village Painting, Mini (10cm) — Wall Art & Panels","Traditional Balinese Balinese Village Painting — A masterpiece of Mas Village heritage. Made from ethically sourced Coconut Shell, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Mas Village workshop.",Wall Art & Panels,BaliBoutique,"HomeDecor, UniqueGift, CulturalHeritage, WallArtPanels, TraditionalBalinese, WallDecor, BaliArt, EthnicArt, BalineseCraft, HandCarved",4.93,495,118.24
"Premium Handmade Painted Floral Bowl, Small (15cm) — Ceramic & Pottery","Bring the essence of Ubud Art into your home with this Handmade Painted Floral Bowl. Produced in small batches in our Sukawati studio, using time-honored techniques passed down through generations. Ebony Wood sourced responsibly from local forests. Certificate of authenticity included.",Ceramic & Pottery,NusaHeritage,"RattanBag, OriginalArt, CeramicPottery, BohoDecor, CulturalHeritage, IndonesianCraft, IslandCraft, Handmade, HandCarved, EcoFriendly",4.85,721,35.52
"Handcrafted Organic Bali Ceremonial Painted Mask, Decorative (20cm) — Masks & Folk Art","Organic Bali Ceremonial Painted Mask — A masterpiece of Celuk heritage. Made from ethically sourced Handwoven Ikat, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Celuk workshop.",Masks & Folk Art,BaliBoutique,"BohoDecor, GiftFromBali, OrganicBali, WallDecor, GiftIdea, HandmadeBali, MasksFolkArt, BaliHandmade, BalineseMask, EcoFriendly",4.94,1536,240.0
"Handcrafted Hand Carved Carved Wood Puzzle Box, Large (40cm) — Home Decor",Our Hand Carved Carved Wood Puzzle Box embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Celuk using premium Recycled Mango Wood. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Home Decor,KutaDesign,"BohoDecor, HomeDecor, OriginalArt, SpiritualDecor, CulturalHeritage, IndonesianCraft, BalineseJewelry, HandCarved, SilverJewelry",4.51,175,159.13
"Unique Island Craft Rattan Placemat Set, Medium (25cm) — Home Decor","Bring the essence of Ubud Art into your home with this Island Craft Rattan Placemat Set. Produced in small batches in our Ubud studio, using time-honored techniques passed down through generations. Sustainable Teak Wood sourced responsibly from local forests. Certificate of authenticity included.",Home Decor,SanurBoutique,"HomeDecor, SpiritualDecor, CulturalHeritage, IslandCraft, EthnicArt, BalineseJewelry, BaliStyle, BalineseMask",4.83,1938,119.84
"Authentic Bali Artisan Rama Sita Story Panel, Large (40cm) — Wall Art & Panels","This Bali Artisan Rama Sita Story Panel is meticulously crafted by skilled Ubud artisans using Waru Wood. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Ubud, Bali, Indonesia with international tracking.",Wall Art & Panels,CelukStudio,"IndonesianCraft, UbudArt, ArtisanMade, BatiKTextile, WallArtPanels, GiftIdea, BaliArtisan, WoodCarving, EcoFriendly, SilverJewelry",4.6,1132,297.3
"Rare Bali Artisan Agarwood Incense Sticks, Medium (25cm) — Incense & Aromatherapy",Discover the soul of Bali with this Bali Artisan Agarwood Incense Sticks. Hand-finished by our Batubulan cooperative using sustainable Sustainable Teak Wood. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Incense & Aromatherapy,UbudCraft,"TraditionalBali, BohoDecor, BatiKTextile, IslandCraft, IncenseAromatherapy, BaliArtisan",4.78,1005,20.65
"Premium Handmade Agarwood Incense Sticks, Small (15cm) — Incense & Aromatherapy","This Handmade Agarwood Incense Sticks is meticulously crafted by skilled Tegallalang artisans using 925 Sterling Silver. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Tegallalang, Bali, Indonesia with international tracking.",Incense & Aromatherapy,GianyarHeritage,"CulturalHeritage, UbudArt, IndonesianCraft, BatiKTextile, BaliArt, IncenseAromatherapy, Handmade, EthnicArt, EcoFriendly, SilverJewelry",4.54,77,11.46
"Artisan Ubud Art Bali Beach Sunset Canvas, XL (60cm) — Paintings on Canvas","Bring the essence of Ubud Art into your home with this Ubud Art Bali Beach Sunset Canvas. Produced in small batches in our Gianyar studio, using time-honored techniques passed down through generations. Recycled Mango Wood sourced responsibly from local forests. Certificate of authenticity included.",Paintings on Canvas,KutaHandmade,"PaintingsonCanvas, IndonesianCraft, UbudArt, BaliStyle, EcoFriendly",5.0,2329,177.92
"Elegant Ubud Art Songket Weave Cloth, Medium (25cm) — Batik & Textile","Ubud Art Songket Weave Cloth — A masterpiece of Batubulan heritage. Made from ethically sourced 925 Sterling Silver, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Batubulan workshop.",Batik & Textile,SeminyakDesign,"BohoDecor, TropicalDecor, SpiritualDecor, BatikTextile, IndonesianCraft, UbudArt, BatiKTextile, BalineseCraft, HandCarved, SilverJewelry",4.54,26,53.61
"Cultural Balinese Heritage Balinese Lantern with Coconut Husk, Standard (30cm) — Home Decor","Balinese Heritage Balinese Lantern with Coconut Husk — A masterpiece of Celuk heritage. Made from ethically sourced Waru Wood, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Celuk workshop.",Home Decor,GianyarArtisan,"HomeDecor, BalineseHeritage, BatiKTextile, BaliArt, BalineseCraft, BaliHandmade, HandCarved",4.77,544,186.61
"Premium Spirit of Bali Wayang Puppet Shadow Art, Small (15cm) — Paintings on Canvas","Bring the essence of Ubud Art into your home with this Spirit of Bali Wayang Puppet Shadow Art. Produced in small batches in our Celuk studio, using time-honored techniques passed down through generations. Handwoven Ikat sourced responsibly from local forests. Certificate of authenticity included.",Paintings on Canvas,KutaCreativeHouse,"SpiritofBali, TropicalDecor, PaintingsonCanvas, BaliArt, EthnicArt, BaliStyle, BalineseCraft, BalineseMask, EcoFriendly",4.97,2211,302.8
"Cultural Balinese Craft Golden Lotus Relief Panel, Mini (10cm) — Wall Art & Panels","This Balinese Craft Golden Lotus Relief Panel is meticulously crafted by skilled Batubulan artisans using Waru Wood. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Batubulan, Bali, Indonesia with international tracking.",Wall Art & Panels,SukawatiBoutique,"RattanBag, TraditionalBali, OriginalArt, BohoDecor, WallArtPanels, EthnicArt, BalineseJewelry, BalineseCraft, BaliHandmade",4.79,963,130.46
"Handcrafted Hand Carved Oxidized Silver Chain, Standard (30cm) — Silver Jewelry","This Hand Carved Oxidized Silver Chain is meticulously crafted by skilled Celuk artisans using Natural Rattan. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Celuk, Bali, Indonesia with international tracking.",Silver Jewelry,SeminyakArt,"CulturalHeritage, IndonesianCraft, IslandCraft, GiftIdea, BaliArt, BalineseCraft, BalineseMask, HandCarved, SilverJewelry",4.71,1180,482.12
"Rare Balinese Craft Peacock Feather Wall Art, Decorative (20cm) — Wall Art & Panels","This Balinese Craft Peacock Feather Wall Art is meticulously crafted by skilled Sukawati artisans using Recycled Mango Wood. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Sukawati, Bali, Indonesia with international tracking.",Wall Art & Panels,SukawatiDesign,"BohoDecor, OriginalArt, TropicalDecor, IndonesianCraft, WallArtPanels, IslandCraft, BalineseCraft, EcoFriendly",4.73,96,259.83
"Unique Bali Artisan Dancing Legong Dancer, XL (60cm) — Wood Carving & Sculpture","Bring the essence of Ubud Art into your home with this Bali Artisan Dancing Legong Dancer. Produced in small batches in our Mas Village studio, using time-honored techniques passed down through generations. Traditional Batik Cotton sourced responsibly from local forests. Certificate of authenticity included.",Wood Carving & Sculpture,BaliCraft,"WoodCarvingSculpture, CulturalHeritage, BatiKTextile, BaliArt, HandmadeBali, EthnicArt, BaliArtisan",4.99,980,229.9
"Traditional Eco-Friendly Lotus Sarong Batik, XL (60cm) — Batik & Textile",Discover the soul of Bali with this Eco-Friendly Lotus Sarong Batik. Hand-finished by our Batubulan cooperative using sustainable Suar Wood. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Batik & Textile,CelukBoutique,"GiftFromBali, WoodCarving, BatikTextile, CulturalHeritage, ArtisanMade, Eco-Friendly, BaliStyle, SustainableWood, EcoFriendly",4.71,1934,91.65
"Artisan Bali Artisan Envelope Rattan Clutch, Large (40cm) — Rattan & Woven Bags",Our Bali Artisan Envelope Rattan Clutch embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Tegallalang using premium Recycled Mango Wood. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Rattan & Woven Bags,KutaCraft,"BohoDecor, HomeDecor, UniqueGift, CulturalHeritage, RattanWovenBags, IslandCraft, BaliArtisan, BalineseMask, SustainableWood",4.64,2404,146.52
